Accession,Species,Genus,Family,Isolate,Virus Taxonomic ID,Virus Name,Length,Isolate Lineage source,leiden,genus,species,infer_genus,cdhit_representative,orf_id,aa_length,phylo_cluster,orf1_genus
MN769442.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-504-9,93678,TTV-like mini virus,2898,"",217,123,32,Betatorquevirus,MN769442.1,MN769442.1_1,665,14,Betatorquevirus
MN769441.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-504-5,93678,TTV-like mini virus,2904,"",60,107,1367,Betatorquevirus,MN769441.1,MN769441.1_1,679,20,Betatorquevirus
MN769440.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-502-12,93678,TTV-like mini virus,2899,"",94,231,398,Betatorquevirus,MN769440.1,MN769440.1_1,660,4,Betatorquevirus
MN769438.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-500-47,93678,TTV-like mini virus,2810,"",45,7,97,Betatorquevirus,MN769438.1,MN769438.1_1,642,2,Betatorquevirus
MN769437.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-500-44,93678,TTV-like mini virus,2841,"",99,237,158,Betatorquevirus,MN769437.1,MN769437.1_1,656,2,Betatorquevirus
MN769436.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-500-41,93678,TTV-like mini virus,2880,"",17,219,575,Betatorquevirus,MN769436.1,MN769436.1_1,664,7,Betatorquevirus
MN769434.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-500-31,93678,TTV-like mini virus,2950,"",26,155,1114,Betatorquevirus,MN769434.1,MN769434.1_1,665,8,Betatorquevirus
MN769433.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-500-30,93678,TTV-like mini virus,2898,"",40,116,116,Betatorquevirus,MN769433.1,MN769433.1_1,663,4,Betatorquevirus
MN769432.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-498-5,93678,TTV-like mini virus,2905,"",90,391,1357,Betatorquevirus,MN769432.1,MN769432.1_1,649,21,Betatorquevirus
MN769428.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-491-14,93678,TTV-like mini virus,2906,"",6,19,19,Betatorquevirus,MN769428.1,MN769428.1_1,671,11,Betatorquevirus
MN769427.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-488-7,93678,TTV-like mini virus,2856,"",5,687,1720,Betatorquevirus,MN769427.1,MN769427.1_1,657,15,Betatorquevirus
MN769426.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-488-6,93678,TTV-like mini virus,2879,"",21,96,1555,Betatorquevirus,MN769426.1,MN769426.1_1,658,4,Betatorquevirus
MN769425.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-488-4,93678,TTV-like mini virus,2956,"",44,111,202,Betatorquevirus,MN769425.1,MN769425.1_1,671,20,Betatorquevirus
MN769418.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-481-10,93678,TTV-like mini virus,2909,"",80,473,1332,Betatorquevirus,MN769418.1,MN769418.1_1,673,12,Betatorquevirus
MN769417.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-478-27,93678,TTV-like mini virus,2820,"",134,336,511,Betatorquevirus,MN769417.1,MN769417.1_1,672,24,Betatorquevirus
MN769416.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-478-22,93678,TTV-like mini virus,2864,"",87,245,67,Betatorquevirus,MN769416.1,MN769416.1_1,653,2,Betatorquevirus
MN769415.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-478-20,93678,TTV-like mini virus,2872,"",40,284,552,Betatorquevirus,MN769415.1,MN769415.1_1,662,4,Betatorquevirus
MN769414.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-478-15,93678,TTV-like mini virus,2916,"",7,162,1279,Betatorquevirus,MN769414.1,MN769414.1_1,679,20,Betatorquevirus
MN769412.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-477-5,93678,TTV-like mini virus,2848,"",61,68,1778,Betatorquevirus,MN769412.1,MN769412.1_1,647,21,Betatorquevirus
MN769410.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-476-8,93678,TTV-like mini virus,2900,"",10,33,59,Betatorquevirus,MN769410.1,MN769410.1_1,659,13,Betatorquevirus
MN769409.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-476-6,93678,TTV-like mini virus,2913,"",52,32,1300,Betatorquevirus,MN769409.1,MN769409.1_1,671,11,Betatorquevirus
MN769407.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-475-5,93678,TTV-like mini virus,2935,"",11,35,207,Betatorquevirus,MN769407.1,MN769407.1_1,676,12,Betatorquevirus
MN769405.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-47-14,93678,TTV-like mini virus,2879,"",10,33,1554,Betatorquevirus,MN769405.1,MN769405.1_1,661,13,Betatorquevirus
MN769404.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-47-10,93678,TTV-like mini virus,2941,"",68,73,326,Betatorquevirus,MN769404.1,MN769404.1_1,683,20,Betatorquevirus
MN769403.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-470-7,93678,TTV-like mini virus,2949,"",3,144,136,Betatorquevirus,MN769403.1,MN769403.1_1,675,14,Betatorquevirus
MN769402.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-469-6,93678,TTV-like mini virus,2910,"",264,535,1326,Betatorquevirus,MN769402.1,MN769402.1_1,680,11,Betatorquevirus
MN769401.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-469-10,93678,TTV-like mini virus,2786,"",0,0,2074,Betatorquevirus,MN769401.1,MN769401.1_1,657,2,Betatorquevirus
MN769398.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-460-9,93678,TTV-like mini virus,2858,"",113,124,155,Betatorquevirus,MN769398.1,MN769398.1_1,663,4,Betatorquevirus
MN769395.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-45-4,93678,TTV-like mini virus,2933,"",340,823,1185,Betatorquevirus,MN769395.1,MN769395.1_1,678,11,Betatorquevirus
MN769392.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-453-11,93678,TTV-like mini virus,2819,"",0,55,527,Betatorquevirus,MN769392.1,MN769392.1_1,664,2,Betatorquevirus
MN769390.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-447-2,93678,TTV-like mini virus,2887,"",7,301,1509,Betatorquevirus,MN769390.1,MN769390.1_1,674,20,Betatorquevirus
MN769389.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-446-15,93678,TTV-like mini virus,2848,"",104,89,1777,Betatorquevirus,MN769389.1,MN769389.1_1,656,21,Betatorquevirus
MN769386.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-442-12,93678,TTV-like mini virus,2835,"",48,23,380,Betatorquevirus,MN769386.1,MN769386.1_1,653,19,Betatorquevirus
MN769384.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-440-12,93678,TTV-like mini virus,2900,"",97,249,1401,Betatorquevirus,MN769384.1,MN769384.1_1,663,16,Betatorquevirus
MN769383.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-437-8,93678,TTV-like mini virus,2809,"",135,122,216,Betatorquevirus,MN769383.1,MN769383.1_1,652,2,Betatorquevirus
MN769382.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-437-4,93678,TTV-like mini virus,2917,"",22,460,1273,Betatorquevirus,MN769382.1,MN769382.1_1,672,11,Betatorquevirus
MN769380.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-434-4,93678,TTV-like mini virus,2941,"",3,67,1154,Betatorquevirus,MN769380.1,MN769380.1_1,680,14,Betatorquevirus
MN769376.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-425-3,93678,TTV-like mini virus,2851,"",5,88,323,Betatorquevirus,MN769376.1,MN769376.1_1,488,15,Betatorquevirus
MN769375.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-4-22,93678,TTV-like mini virus,2827,"",160,400,508,Betatorquevirus,MN769375.1,MN769375.1_1,664,24,Betatorquevirus
MN769373.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-421-15,93678,TTV-like mini virus,2899,"",28,700,1413,Betatorquevirus,MN769373.1,MN769373.1_1,679,6,Betatorquevirus
MN769372.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-421-13,93678,TTV-like mini virus,2910,"",29,437,221,Betatorquevirus,MN769372.1,MN769372.1_1,665,21,Betatorquevirus
MN769369.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-418-8,93678,TTV-like mini virus,2929,"",2,250,193,Betatorquevirus,MN769369.1,MN769369.1_1,676,16,Betatorquevirus
MN769367.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-418-13,93678,TTV-like mini virus,2887,"",96,161,1508,Betatorquevirus,MN769367.1,MN769367.1_1,669,7,Betatorquevirus
MN769365.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-4-18,93678,TTV-like mini virus,2846,"",0,0,218,Betatorquevirus,MN769365.1,MN769365.1_1,671,2,Betatorquevirus
MN769363.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-413-5,93678,TTV-like mini virus,2877,"",97,210,1573,Betatorquevirus,MN769363.1,MN769363.1_1,671,16,Betatorquevirus
MN769359.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-409-3,93678,TTV-like mini virus,2877,"",91,888,1572,Betatorquevirus,MN769359.1,MN769359.1_1,661,15,Betatorquevirus
MN769358.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-405-4,93678,TTV-like mini virus,2891,"",10,94,1474,Betatorquevirus,MN769358.1,MN769358.1_1,662,13,Betatorquevirus
MN769357.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-403-12,93678,TTV-like mini virus,2794,"",0,3,2057,Betatorquevirus,MN769357.1,MN769357.1_1,662,2,Betatorquevirus
MN769356.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-402-30,93678,TTV-like mini virus,2830,"",0,3,1886,Betatorquevirus,MN769356.1,MN769356.1_1,659,2,Betatorquevirus
MN769355.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-402-24,93678,TTV-like mini virus,2838,"",48,23,1841,Betatorquevirus,MN769355.1,MN769355.1_1,654,19,Betatorquevirus
MN769353.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-402-21,93678,TTV-like mini virus,2844,"",5,26,1800,Betatorquevirus,MN769353.1,MN769353.1_1,653,15,Betatorquevirus
MN769351.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-401-9,93678,TTV-like mini virus,2953,"",31,299,1105,Betatorquevirus,MN769351.1,MN769351.1_1,668,16,Betatorquevirus
MN769350.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-401-17,93678,TTV-like mini virus,2884,"",23,28,10,Betatorquevirus,MN769350.1,MN769350.1_1,663,12,Betatorquevirus
MN769349.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-401-16,93678,TTV-like mini virus,2904,"",44,111,1366,Betatorquevirus,MN769349.1,MN769349.1_1,671,20,Betatorquevirus
MN769348.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-401-12,93678,TTV-like mini virus,2927,"",3,661,579,Betatorquevirus,MN769348.1,MN769348.1_1,675,14,Betatorquevirus
MN769347.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-400-8,93678,TTV-like mini virus,2849,"",29,105,11,Betatorquevirus,MN769347.1,MN769347.1_1,657,21,Betatorquevirus
MN769346.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-39-9,93678,TTV-like mini virus,2883,"",10,160,1533,Betatorquevirus,MN769346.1,MN769346.1_1,664,13,Betatorquevirus
MN769344.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-398-17,93678,TTV-like mini virus,2909,"",30,423,419,Betatorquevirus,MN769344.1,MN769344.1_1,677,7,Betatorquevirus
MN769342.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-397-6,93678,TTV-like mini virus,2872,"",21,99,40,Betatorquevirus,MN769342.1,MN769342.1_1,659,4,Betatorquevirus
MN769340.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-396-7,93678,TTV-like mini virus,2918,"",11,337,1267,Betatorquevirus,MN769340.1,MN769340.1_1,671,12,Betatorquevirus
MN769337.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-392-23,93678,TTV-like mini virus,2900,"",18,357,335,Betatorquevirus,MN769337.1,MN769337.1_1,667,17,Betatorquevirus
MN769336.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-392-16,93678,TTV-like mini virus,3006,"",47,326,129,Betatorquevirus,MN769336.1,MN769336.1_1,686,20,Betatorquevirus
MN769335.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-39-12,93678,TTV-like mini virus,2870,"",19,479,1630,Betatorquevirus,MN769335.1,MN769335.1_1,661,16,Betatorquevirus
MN769333.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-390-14,93678,TTV-like mini virus,2863,"",8,186,1674,Betatorquevirus,MN769333.1,MN769333.1_1,666,17,Betatorquevirus
MN769332.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-97,93678,TTV-like mini virus,2798,"",50,114,2041,Betatorquevirus,MN769332.1,MN769332.1_1,660,5,Betatorquevirus
MN769330.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-90,93678,TTV-like mini virus,2903,"",5,466,1373,Betatorquevirus,MN769330.1,MN769330.1_1,667,15,Betatorquevirus
MN769329.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-89,93678,TTV-like mini virus,2848,"",104,89,1776,Betatorquevirus,MN769329.1,MN769329.1_1,656,21,Betatorquevirus
MN769325.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-63,93678,TTV-like mini virus,2905,"",47,849,1356,Betatorquevirus,MN769325.1,MN769325.1_1,679,20,Betatorquevirus
MN769324.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-61,93678,TTV-like mini virus,2879,"",185,291,1553,Betatorquevirus,MN769324.1,MN769324.1_1,661,5,Betatorquevirus
MN769323.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-55,93678,TTV-like mini virus,2865,"",331,902,1660,Betatorquevirus,MN769323.1,MN769323.1_1,663,12,Betatorquevirus
MN769321.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-30,93678,TTV-like mini virus,2971,"",7,641,525,Betatorquevirus,MN769321.1,MN769321.1_1,677,20,Betatorquevirus
MN769320.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-139,93678,TTV-like mini virus,2842,"",46,29,1809,Betatorquevirus,MN769320.1,MN769320.1_1,665,17,Betatorquevirus
MN769319.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-134,93678,TTV-like mini virus,2817,"",0,187,1948,Betatorquevirus,MN769319.1,MN769319.1_1,659,2,Betatorquevirus
MN769318.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-127,93678,TTV-like mini virus,2876,"",17,219,1582,Betatorquevirus,MN769318.1,MN769318.1_1,663,7,Betatorquevirus
MN769316.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-117,93678,TTV-like mini virus,2903,"",41,212,346,Betatorquevirus,MN769316.1,MN769316.1_1,677,25,Betatorquevirus
MN769314.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-388-107,93678,TTV-like mini virus,2885,"",97,249,166,Betatorquevirus,MN769314.1,MN769314.1_1,665,16,Betatorquevirus
MN769311.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-382-4,93678,TTV-like mini virus,2963,"",6,335,154,Betatorquevirus,MN769311.1,MN769311.1_1,678,11,Betatorquevirus
MN769310.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-382-3,93678,TTV-like mini virus,2970,"",109,79,22,Betatorquevirus,MN769310.1,MN769310.1_1,666,27,Hetorquevirus
MN769309.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-38-10,93678,TTV-like mini virus,2827,"",64,10,46,Gammatorquevirus,MN769309.1,MN769309.1_1,657,2,Betatorquevirus
MN769308.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-380-94,93678,TTV-like mini virus,2759,"",0,678,2130,Betatorquevirus,MN769308.1,MN769308.1_1,655,2,Betatorquevirus
MN769305.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-380-7,93678,TTV-like mini virus,2849,"",41,222,358,Betatorquevirus,MN769305.1,MN769305.1_1,676,25,Betatorquevirus
MN769304.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-380-46,93678,TTV-like mini virus,2868,"",83,899,1643,Betatorquevirus,MN769304.1,MN769304.1_1,666,9,Betatorquevirus
MN769303.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-380-43,93678,TTV-like mini virus,2898,"",186,857,1419,Betatorquevirus,MN769303.1,MN769303.1_1,673,16,Betatorquevirus
MN769302.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-380-42,93678,TTV-like mini virus,2833,"",41,212,1869,Betatorquevirus,MN769302.1,MN769302.1_1,677,25,Betatorquevirus
MN769301.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-380-26,93678,TTV-like mini virus,2899,"",15,207,96,Betatorquevirus,MN769301.1,MN769301.1_1,664,5,Betatorquevirus
MN769300.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-380-24,93678,TTV-like mini virus,2905,"",21,267,1355,Betatorquevirus,MN769300.1,MN769300.1_1,668,4,Betatorquevirus
MN769298.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-380-19,93678,TTV-like mini virus,2921,"",1,5,1251,Betatorquevirus,MN769298.1,MN769298.1_1,669,10,Betatorquevirus
MN769297.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-378-9,93678,TTV-like mini virus,2873,"",170,216,1609,Betatorquevirus,MN769297.1,MN769297.1_1,668,25,Betatorquevirus
MN769294.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-376-28,93678,TTV-like mini virus,2839,"",0,3,15,Betatorquevirus,MN769294.1,MN769294.1_1,659,2,Betatorquevirus
MN769293.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-376-22,93678,TTV-like mini virus,2884,"",350,879,1525,Betatorquevirus,MN769293.1,MN769293.1_1,680,18,Betatorquevirus
MN769292.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-376-19,93678,TTV-like mini virus,2889,"",141,146,1492,Betatorquevirus,MN769292.1,MN769292.1_1,662,5,Betatorquevirus
MN769289.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-370-3,93678,TTV-like mini virus,2896,"",10,862,1440,Betatorquevirus,MN769289.1,MN769289.1_1,672,13,Betatorquevirus
MN769286.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-367-31,93678,TTV-like mini virus,2851,"",0,55,106,Betatorquevirus,MN769286.1,MN769286.1_1,666,2,Betatorquevirus
MN769283.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-365-14,93678,TTV-like mini virus,2907,"",2,141,127,Betatorquevirus,MN769283.1,MN769283.1_1,671,16,Betatorquevirus
MN769282.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-365-11,93678,TTV-like mini virus,2923,"",7,303,305,Betatorquevirus,MN769282.1,MN769282.1_1,680,20,Betatorquevirus
MN769281.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-364-8,93678,TTV-like mini virus,2905,"",17,84,479,Betatorquevirus,MN769281.1,MN769281.1_1,673,7,Betatorquevirus
MN769274.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-361-34,93678,TTV-like mini virus,2813,"",43,260,1975,Betatorquevirus,MN769274.1,MN769274.1_1,663,24,Betatorquevirus
MN769273.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-361-26,93678,TTV-like mini virus,2864,"",5,466,1669,Betatorquevirus,MN769273.1,MN769273.1_1,661,15,Betatorquevirus
MN769270.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-360-22,93678,TTV-like mini virus,2839,"",0,197,632,Betatorquevirus,MN769270.1,MN769270.1_1,662,2,Betatorquevirus
MN769269.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-360-16,93678,TTV-like mini virus,2875,"",8,83,1593,Betatorquevirus,MN769269.1,MN769269.1_1,658,17,Betatorquevirus
MN769266.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-359-6,93678,TTV-like mini virus,3013,"",44,111,349,Betatorquevirus,MN769266.1,MN769266.1_1,679,20,Betatorquevirus
MN769265.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-359-20,93678,TTV-like mini virus,2816,"",142,150,1959,Betatorquevirus,MN769265.1,MN769265.1_1,660,17,Betatorquevirus
MN769264.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-359-14,93678,TTV-like mini virus,2846,"",59,281,1791,Betatorquevirus,MN769264.1,MN769264.1_1,659,15,Betatorquevirus
MN769263.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-358-7,93678,TTV-like mini virus,2834,"",124,232,488,Betatorquevirus,MN769263.1,MN769263.1_1,656,24,Betatorquevirus
MN769260.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-35-68,93678,TTV-like mini virus,2848,"",48,408,1775,Betatorquevirus,MN769260.1,MN769260.1_1,646,19,Betatorquevirus
MN769259.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-35-65,93678,TTV-like mini virus,2817,"",0,187,190,Betatorquevirus,MN769259.1,MN769259.1_1,659,2,Betatorquevirus
MN769258.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-35-62,93678,TTV-like mini virus,2876,"",8,189,146,Betatorquevirus,MN769258.1,MN769258.1_1,669,17,Betatorquevirus
MN769257.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-35-61,93678,TTV-like mini virus,2882,"",27,98,439,Betatorquevirus,MN769257.1,MN769257.1_1,660,13,Betatorquevirus
MN769256.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-35-59,93678,TTV-like mini virus,2820,"",279,315,1941,Betatorquevirus,MN769256.1,MN769256.1_1,657,13,Betatorquevirus
MN769253.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-35-40,93678,TTV-like mini virus,2947,"",26,80,38,Betatorquevirus,MN769253.1,MN769253.1_1,670,8,Betatorquevirus
MN769252.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-353-43,93678,TTV-like mini virus,2761,"",39,514,2128,Betatorquevirus,MN769252.1,MN769252.1_1,649,2,Betatorquevirus
MN769251.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-353-39,93678,TTV-like mini virus,2885,"",41,212,1518,Betatorquevirus,MN769251.1,MN769251.1_1,677,25,Betatorquevirus
MN769247.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-35-32,93678,TTV-like mini virus,2893,"",96,161,1460,Betatorquevirus,MN769247.1,MN769247.1_1,671,7,Betatorquevirus
MN769246.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-35-29,93678,TTV-like mini virus,2902,"",105,540,1382,Betatorquevirus,MN769246.1,MN769246.1_1,665,5,Betatorquevirus
MN769245.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-35-24,93678,TTV-like mini virus,2829,"",9,556,1893,Betatorquevirus,MN769245.1,MN769245.1_1,662,24,Betatorquevirus
MN769244.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-352-24,93678,TTV-like mini virus,2900,"",2,576,1400,Betatorquevirus,MN769244.1,MN769244.1_1,669,16,Betatorquevirus
MN769241.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-35-15,93678,TTV-like mini virus,2960,"",221,447,241,Betatorquevirus,MN769241.1,MN769241.1_1,685,12,Betatorquevirus
MN769238.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-350-16,93678,TTV-like mini virus,2919,"",66,154,460,Betatorquevirus,MN769238.1,MN769238.1_1,668,5,Betatorquevirus
MN769237.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-350-14,93678,TTV-like mini virus,2936,"",26,223,105,Betatorquevirus,MN769237.1,MN769237.1_1,665,8,Betatorquevirus
MN769236.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-349-9,93678,TTV-like mini virus,2987,"",275,791,1008,Betatorquevirus,MN769236.1,MN769236.1_1,661,28,Hetorquevirus
MN769235.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-349-42,93678,TTV-like mini virus,2839,"",98,61,34,Betatorquevirus,MN769235.1,MN769235.1_1,648,2,Betatorquevirus
MN769234.1,Hetorquevirus hominid2,Hetorquevirus,Anelloviridae,SAfiA-349-33,2846487,Torque teno hominid virus 2,2919,"",152,170,586,Hetorquevirus,MN769234.1,MN769234.1_1,664,27,Hetorquevirus
MN769233.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-349-32,93678,TTV-like mini virus,2880,"",59,264,1548,Betatorquevirus,MN769233.1,MN769233.1_1,660,15,Betatorquevirus
MN769231.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-349-14,93678,TTV-like mini virus,2939,"",217,278,1162,Betatorquevirus,MN769231.1,MN769231.1_1,670,14,Betatorquevirus
MN769228.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-346-35,93678,TTV-like mini virus,2810,"",86,62,375,Betatorquevirus,MN769228.1,MN769228.1_1,663,24,Betatorquevirus
MN769226.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-346-33,93678,TTV-like mini virus,2831,"",21,267,1880,Betatorquevirus,MN769226.1,MN769226.1_1,665,4,Betatorquevirus
MN769224.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-346-16,93678,TTV-like mini virus,2913,"",80,473,1299,Betatorquevirus,MN769224.1,MN769224.1_1,669,12,Betatorquevirus
MN769223.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-345-17,93678,TTV-like mini virus,2791,"",99,985,2063,Betatorquevirus,MN769223.1,MN769223.1_1,657,2,Betatorquevirus
MN769221.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-345-14,93678,TTV-like mini virus,2870,"",89,46,1629,Betatorquevirus,MN769221.1,MN769221.1_1,662,13,Betatorquevirus
MN769219.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-344-3,93678,TTV-like mini virus,2941,"",36,181,1153,Betatorquevirus,MN769219.1,MN769219.1_1,676,20,Betatorquevirus
