Accession,Species,Genus,Family,Isolate,Virus Taxonomic ID,Virus Name,Length,Isolate Lineage source,leiden,genus,species,infer_genus,cdhit_representative,orf_id,aa_length
MN769232.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-349-26,93678,TTV-like mini virus,2907,"",29,316,237,Betatorquevirus,MN769642.1,MN769232.1_1,670
MN769231.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-349-14,93678,TTV-like mini virus,2939,"",217,278,1162,Betatorquevirus,MN769231.1,MN769231.1_1,670
MN769230.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-348-6,93678,TTV-like mini virus,2952,"",47,326,129,Betatorquevirus,MN769336.1,MN769230.1_1,686
MN769229.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-347-21,93678,TTV-like mini virus,2805,"",0,2,181,Betatorquevirus,MW455382.1,MN769229.1_1,652
MN769228.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-346-35,93678,TTV-like mini virus,2810,"",86,62,375,Betatorquevirus,MN769228.1,MN769228.1_1,663
MN769227.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-346-34,93678,TTV-like mini virus,2847,"",5,70,94,Betatorquevirus,MN769543.1,MN769227.1_1,659
MN769226.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-346-33,93678,TTV-like mini virus,2831,"",21,267,1880,Betatorquevirus,MN769226.1,MN769226.1_1,665
MN769225.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-346-21,93678,TTV-like mini virus,2898,"",63,15,177,Hetorquevirus,MN769193.1,MN769225.1_1,665
MN769224.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-346-16,93678,TTV-like mini virus,2913,"",80,473,1299,Betatorquevirus,MN769224.1,MN769224.1_1,669
MN769223.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-345-17,93678,TTV-like mini virus,2791,"",99,985,2063,Betatorquevirus,MN769223.1,MN769223.1_1,657
MN769222.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-345-15,93678,TTV-like mini virus,2826,"",64,10,46,Gammatorquevirus,MN769309.1,MN769222.1_1,657
MN769221.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-345-14,93678,TTV-like mini virus,2870,"",89,46,1629,Betatorquevirus,MN769221.1,MN769221.1_1,662
MN769220.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-345-10,93678,TTV-like mini virus,2896,"",67,442,229,Betatorquevirus,MN770213.1,MN769220.1_1,671
MN769219.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-344-3,93678,TTV-like mini virus,2941,"",36,181,1153,Betatorquevirus,MN769219.1,MN769219.1_1,676
MN769218.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-342-15,93678,TTV-like mini virus,2883,"",27,119,81,Betatorquevirus,MN769684.1,MN769218.1_1,666
MN769217.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-341-8,93678,TTV-like mini virus,2948,"",22,118,108,Betatorquevirus,MN769046.1,MN769217.1_1,679
MN769216.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-341-19,93678,TTV-like mini virus,2781,"",0,0,372,Betatorquevirus,MN769151.1,MN769216.1_1,658
MN769215.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-341-17,93678,TTV-like mini virus,2833,"",39,65,111,Betatorquevirus,MN770146.1,MN769215.1_1,649
MN769214.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-341-13,93678,TTV-like mini virus,2892,"",5,171,1466,Betatorquevirus,MN769214.1,MN769214.1_1,664
MN769213.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-340-5,93678,TTV-like mini virus,2902,"",7,39,0,Betatorquevirus,MN769027.1,MN769213.1_1,674
MN769212.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-340-2,93678,TTV-like mini virus,2912,"",44,707,1308,Betatorquevirus,MN769212.1,MN769212.1_1,673
MN769211.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-339-7,93678,TTV-like mini virus,2894,"",51,30,74,Betatorquevirus,MN769211.1,MN769211.1_1,664
MN769210.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-339-10,93678,TTV-like mini virus,2848,"",0,55,537,Betatorquevirus,MN769210.1,MN769210.1_1,665
MN769209.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-338-9,93678,TTV-like mini virus,2979,"",116,239,249,Betatorquevirus,MN769209.1,MN769209.1_1,665
MN769208.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-334-13,93678,TTV-like mini virus,2918,"",2,173,71,Betatorquevirus,MN769076.1,MN769208.1_1,678
MN769207.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-332-9,93678,TTV-like mini virus,2884,"",91,333,149,Betatorquevirus,MN769207.1,MN769207.1_1,664
MN769206.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-332-5,93678,TTV-like mini virus,2925,"",10,160,278,Betatorquevirus,MN769206.1,MN769206.1_1,666
MN769205.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-33-23,93678,TTV-like mini virus,2843,"",0,548,1805,Betatorquevirus,MN769205.1,MN769205.1_1,660
MN769204.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-33-22,93678,TTV-like mini virus,2836,"",0,486,1850,Betatorquevirus,MN769204.1,MN769204.1_1,662
MN769203.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-33-18,93678,TTV-like mini virus,2884,"",5,171,75,Betatorquevirus,MN769108.1,MN769203.1_1,664
MN769202.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-331-13,93678,TTV-like mini virus,2953,"",146,504,1104,Betatorquevirus,MN769202.1,MN769202.1_1,679
MN769201.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-330-3,93678,TTV-like mini virus,2995,"",7,174,112,Betatorquevirus,MN769201.1,MN769201.1_1,673
MN769200.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-330-10,93678,TTV-like mini virus,2890,"",60,182,1483,Betatorquevirus,MN769200.1,MN769200.1_1,671
MN769199.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-327-20,93678,TTV-like mini virus,2867,"",51,30,74,Betatorquevirus,MN769211.1,MN769199.1_1,664
MN769198.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-326-16,93678,TTV-like mini virus,2852,"",19,24,1,Betatorquevirus,MN769033.1,MN769198.1_1,656
MN769197.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-326-14,93678,TTV-like mini virus,2859,"",77,78,18,Betatorquevirus,MN769058.1,MN769197.1_1,663
MN769196.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-326-10,93678,TTV-like mini virus,2892,"",44,129,115,Betatorquevirus,MN770124.1,MN769196.1_1,678
MN769195.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-325-14,93678,TTV-like mini virus,2934,"",2,446,240,Betatorquevirus,MN769188.1,MN769195.1_1,678
MN769194.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-324-13,93678,TTV-like mini virus,2879,"",10,33,371,Betatorquevirus,MN771395.1,MN769194.1_1,661
MN769193.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-323-4,93678,TTV-like mini virus,2898,"",63,15,489,Hetorquevirus,MN769193.1,MN769193.1_1,665
MN769192.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-323-3,93678,TTV-like mini virus,2933,"",34,822,1184,Betatorquevirus,MN769192.1,MN769192.1_1,671
MN769191.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-322-2,93678,TTV-like mini virus,2945,"",68,73,1141,Betatorquevirus,MN769191.1,MN769191.1_1,684
MN769190.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-321-10,93678,TTV-like mini virus,2865,"",8,31,208,Betatorquevirus,MN769190.1,MN769190.1_1,667
MN769189.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-32-0,93678,TTV-like mini virus,2923,"",2,311,171,Betatorquevirus,MN769189.1,MN769189.1_1,673
MN769188.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-319-8,93678,TTV-like mini virus,2934,"",2,446,240,Betatorquevirus,MN769188.1,MN769188.1_1,678
MN769187.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-319-26,93678,TTV-like mini virus,2823,"",15,43,446,Betatorquevirus,MN769187.1,MN769187.1_1,654
MN769186.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-319-23,93678,TTV-like mini virus,2851,"",8,51,87,Betatorquevirus,MN769186.1,MN769186.1_1,661
MN769185.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-319-22,93678,TTV-like mini virus,2876,"",46,29,7,Betatorquevirus,MN769185.1,MN769185.1_1,666
MN769184.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-317-9,93678,TTV-like mini virus,2923,"",44,129,1235,Betatorquevirus,MN770124.1,MN769184.1_1,679
MN769183.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-317-12,93678,TTV-like mini virus,2874,"",218,304,1603,Betatorquevirus,MN769183.1,MN769183.1_1,666
MN769182.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-316-28,93678,TTV-like mini virus,2902,"",30,389,1381,Betatorquevirus,MN769182.1,MN769182.1_1,674
MN769181.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-316-25,93678,TTV-like mini virus,2924,"",52,607,355,Betatorquevirus,MN769181.1,MN769181.1_1,674
MN769180.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-316-21,93678,TTV-like mini virus,2883,"",95,372,1532,Betatorquevirus,MN769180.1,MN769180.1_1,668
MN769179.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-315-27,93678,TTV-like mini virus,2807,"",101,562,2012,Betatorquevirus,MN769179.1,MN769179.1_1,663
MN769178.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-314-33,93678,TTV-like mini virus,2737,"",172,996,2145,Betatorquevirus,MN769178.1,MN769178.1_1,633
MN769177.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-314-25,93678,TTV-like mini virus,2852,"",8,529,1746,Betatorquevirus,MN769177.1,MN769177.1_1,659
MN769176.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-314-13,93678,TTV-like mini virus,2908,"",166,285,231,Betatorquevirus,MN769083.1,MN769176.1_1,672
MN769175.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-313A-31,93678,TTV-like mini virus,2846,"",0,0,1790,Betatorquevirus,MN769175.1,MN769175.1_1,671
MN769174.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-309-22,93678,TTV-like mini virus,2879,"",10,33,366,Betatorquevirus,MN770998.1,MN769174.1_1,661
MN769173.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-309-17,93678,TTV-like mini virus,2908,"",96,649,542,Betatorquevirus,MN769173.1,MN769173.1_1,674
MN769172.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-309-16,93678,TTV-like mini virus,2908,"",29,651,551,Betatorquevirus,MN769172.1,MN769172.1_1,664
MN769171.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-308-12,93678,TTV-like mini virus,2931,"",338,825,1197,Betatorquevirus,MN769171.1,MN769171.1_1,675
MN769170.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-30-7,93678,TTV-like mini virus,2909,"",12,226,363,Betatorquevirus,MN769789.1,MN769170.1_1,664
MN769169.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-306B-7,93678,TTV-like mini virus,2988,"",33,1,1001,Betatorquevirus,MN769169.1,MN769169.1_1,668
MN769168.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-306B-35,93678,TTV-like mini virus,2825,"",41,222,1907,Betatorquevirus,MN769305.1,MN769168.1_1,676
MN769167.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-306B-26,93678,TTV-like mini virus,2898,"",106,633,496,Betatorquevirus,MN769166.1,MN769167.1_1,669
MN769166.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-306A-26,93678,TTV-like mini virus,2898,"",106,633,496,Betatorquevirus,MN769166.1,MN769166.1_1,669
MN769165.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-306A-23,93678,TTV-like mini virus,2911,"",2,134,79,Betatorquevirus,MN769589.1,MN769165.1_1,672
MN769164.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-306A-20,93678,TTV-like mini virus,2887,"",12,57,13,Betatorquevirus,MZ286269.1,MN769164.1_1,653
MN769163.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-30-6,93678,TTV-like mini virus,2906,"",2,141,127,Betatorquevirus,MN769283.1,MN769163.1_1,671
MN769162.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-301-6,93678,TTV-like mini virus,2975,"",126,169,161,Betatorquevirus,MN769162.1,MN769162.1_1,676
MN769161.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-301-17,93678,TTV-like mini virus,2755,"",0,60,21,Betatorquevirus,MN769126.1,MN769161.1_1,647
MN769160.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-301-11,93678,TTV-like mini virus,2852,"",19,24,1,Betatorquevirus,MN769033.1,MN769160.1_1,656
MN769159.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-299A-16,93678,TTV-like mini virus,2931,"",171,637,518,Betatorquevirus,MN769159.1,MN769159.1_1,672
MN769158.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-297-99,93678,TTV-like mini virus,2887,"",27,98,153,Betatorquevirus,MN769158.1,MN769158.1_1,661
MN769157.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-297-93,93678,TTV-like mini virus,2920,"",2,361,470,Betatorquevirus,MN769559.1,MN769157.1_1,674
MN769156.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-279-8,93678,TTV-like mini virus,2825,"",118,113,1906,Betatorquevirus,MN770194.1,MN769156.1_1,669
MN769155.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-277-43,93678,TTV-like mini virus,2615,"",12,128,2182,Betatorquevirus,MN769155.1,MN769155.1_1,653
MN769154.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-277-25,93678,TTV-like mini virus,2877,"",8,51,1571,Betatorquevirus,MN769154.1,MN769154.1_1,671
MN769153.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-277-21,93678,TTV-like mini virus,2936,"",60,107,1179,Betatorquevirus,MN769153.1,MN769153.1_1,672
MN769152.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-275-56,93678,TTV-like mini virus,2834,"",118,113,178,Betatorquevirus,MN770086.1,MN769152.1_1,668
MN769151.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-275-55,93678,TTV-like mini virus,2808,"",0,0,372,Betatorquevirus,MN769151.1,MN769151.1_1,658
MN769150.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-275-49,93678,TTV-like mini virus,2919,"",12,240,652,Betatorquevirus,MN769150.1,MN769150.1_1,659
MN769149.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-275-45,93678,TTV-like mini virus,2874,"",27,119,1602,Betatorquevirus,MN769149.1,MN769149.1_1,662
MN769148.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-275-36,93678,TTV-like mini virus,2900,"",106,142,150,Betatorquevirus,MN769135.1,MN769148.1_1,669
MN769147.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-275-28,93678,TTV-like mini virus,2896,"",7,303,1439,Betatorquevirus,MN769147.1,MN769147.1_1,681
MN769146.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-274-28,93678,TTV-like mini virus,2909,"",4,41,63,Betatorquevirus,MN769480.1,MN769146.1_1,669
MN769145.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-274-26,93678,TTV-like mini virus,2878,"",59,281,1563,Betatorquevirus,MN769028.1,MN769145.1_1,660
MN769144.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-267-25,93678,TTV-like mini virus,2785,"",92,125,2077,Betatorquevirus,MN769144.1,MN769144.1_1,644
MN769143.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-267-14,93678,TTV-like mini virus,2919,"",223,836,1261,Betatorquevirus,MN769143.1,MN769143.1_1,674
MN769142.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-266-6,93678,TTV-like mini virus,2958,"",28,487,1087,Betatorquevirus,MN769142.1,MN769142.1_1,684
MN769141.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-266-13,93678,TTV-like mini virus,2897,"",63,15,640,Hetorquevirus,MN769141.1,MN769141.1_1,665
MN769140.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-263-22,93678,TTV-like mini virus,2842,"",9,397,410,Betatorquevirus,MN769140.1,MN769140.1_1,665
MN769139.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-263-16,93678,TTV-like mini virus,2886,"",27,98,153,Betatorquevirus,MN769158.1,MN769139.1_1,661
MN769138.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-263-15,93678,TTV-like mini virus,2887,"",12,57,13,Betatorquevirus,MZ286269.1,MN769138.1_1,653
MN769137.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-262-4,93678,TTV-like mini virus,2982,"",7,401,1020,Betatorquevirus,MN769137.1,MN769137.1_1,677
MN769136.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-25A-2,93678,TTV-like mini virus,2900,"",2,211,281,Betatorquevirus,MN769136.1,MN769136.1_1,669
MN769135.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-259-10,93678,TTV-like mini virus,2900,"",106,142,150,Betatorquevirus,MN769135.1,MN769135.1_1,669
MN769134.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-257-13,93678,TTV-like mini virus,2864,"",5,331,143,Betatorquevirus,MN769082.1,MN769134.1_1,657
MN769133.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-256-14,93678,TTV-like mini virus,2826,"",53,262,250,Betatorquevirus,MN769070.1,MN769133.1_1,643
MN769132.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-254-45,93678,TTV-like mini virus,2770,"",29,622,434,Betatorquevirus,MN769466.1,MN769132.1_1,662
MN769131.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-254-30,93678,TTV-like mini virus,2848,"",104,89,1774,Betatorquevirus,MN769131.1,MN769131.1_1,656
MN769130.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-252-16,93678,TTV-like mini virus,2859,"",77,78,18,Betatorquevirus,MN769058.1,MN769130.1_1,663
MN769129.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-252-15,93678,TTV-like mini virus,2868,"",183,288,494,Betatorquevirus,MN771505.1,MN769129.1_1,657
MN769128.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-248-5,93678,TTV-like mini virus,2951,"",226,608,361,Betatorquevirus,MN769128.1,MN769128.1_1,673
MN769127.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-248-4,93678,TTV-like mini virus,2948,"",22,118,108,Betatorquevirus,MN769046.1,MN769127.1_1,679
MN769126.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-247-30,93678,TTV-like mini virus,2781,"",0,60,21,Betatorquevirus,MN769126.1,MN769126.1_1,647
MN769125.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-247-16,93678,TTV-like mini virus,2904,"",17,84,1365,Betatorquevirus,MN769125.1,MN769125.1_1,672
MN769124.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-245-6,93678,TTV-like mini virus,2941,"",2,402,1152,Betatorquevirus,MN769124.1,MN769124.1_1,681
MN769123.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-245-16,93678,TTV-like mini virus,2919,"",44,129,385,Betatorquevirus,MN769123.1,MN769123.1_1,678
MN769122.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-245-15,93678,TTV-like mini virus,2890,"",2,292,204,Betatorquevirus,MN769089.1,MN769122.1_1,668
MN769121.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-245-13,93678,TTV-like mini virus,2927,"",11,270,200,Betatorquevirus,MN769118.1,MN769121.1_1,673
MN769120.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-244-15,93678,TTV-like mini virus,2855,"",77,78,478,Betatorquevirus,MN769785.1,MN769120.1_1,662
MN769119.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-244-11,93678,TTV-like mini virus,2919,"",44,129,115,Betatorquevirus,MN770124.1,MN769119.1_1,678
MN769118.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-244-10,93678,TTV-like mini virus,2927,"",11,270,200,Betatorquevirus,MN769118.1,MN769118.1_1,673
MN769117.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-241-8,93678,TTV-like mini virus,2982,"",7,39,0,Betatorquevirus,MN769027.1,MN769117.1_1,674
MN769116.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-241-27,93678,TTV-like mini virus,2803,"",115,590,284,Betatorquevirus,MN769116.1,MN769116.1_1,650
MN769115.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-241-14,93678,TTV-like mini virus,2966,"",7,301,189,Betatorquevirus,MN769035.1,MN769115.1_1,674
MN769114.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-240-9,93678,TTV-like mini virus,2875,"",8,189,146,Betatorquevirus,MN769258.1,MN769114.1_1,669
MN769113.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-239-6,93678,TTV-like mini virus,2894,"",27,40,130,Betatorquevirus,MN769087.1,MN769113.1_1,666
MN769112.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-239-5,93678,TTV-like mini virus,2968,"",57,130,1051,Betatorquevirus,MN769112.1,MN769112.1_1,673
MN769111.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-238-11,93678,TTV-like mini virus,2894,"",63,15,120,Hetorquevirus,MN769649.1,MN769111.1_1,664
MN769110.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-237-6,93678,TTV-like mini virus,2901,"",6,63,1391,Betatorquevirus,MN769110.1,MN769110.1_1,667
MN769109.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-235-49,93678,TTV-like mini virus,2803,"",159,973,2024,Betatorquevirus,MN769109.1,MN769109.1_1,661
MN769108.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-235-46,93678,TTV-like mini virus,2884,"",5,171,75,Betatorquevirus,MN769108.1,MN769108.1_1,664
MN769107.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-235-42,93678,TTV-like mini virus,2875,"",21,889,1592,Betatorquevirus,MN769107.1,MN769107.1_1,658
MN769106.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-235-40,93678,TTV-like mini virus,2912,"",10,160,1307,Betatorquevirus,MN769106.1,MN769106.1_1,669
MN769105.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-235-34,93678,TTV-like mini virus,2854,"",21,691,1734,Betatorquevirus,MN769105.1,MN769105.1_1,663
MN769104.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-235-33,93678,TTV-like mini virus,2820,"",279,315,1940,Betatorquevirus,MN769104.1,MN769104.1_1,657
MN769103.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-235-27,93678,TTV-like mini virus,2912,"",17,183,1306,Betatorquevirus,MN769103.1,MN769103.1_1,673
MN769102.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-235-23,93678,TTV-like mini virus,2928,"",7,39,0,Betatorquevirus,MN769027.1,MN769102.1_1,674
MN769101.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-234-15,93678,TTV-like mini virus,2825,"",9,66,283,Betatorquevirus,MN769101.1,MN769101.1_1,659
MN769100.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-234-14,93678,TTV-like mini virus,2902,"",151,381,1380,Betatorquevirus,MN769100.1,MN769100.1_1,662
MN769099.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-232-4,93678,TTV-like mini virus,2877,"",171,637,518,Betatorquevirus,MN769159.1,MN769099.1_1,672
MN769098.1,Hetorquevirus hominid2,Hetorquevirus,Anelloviridae,SAfiA-232-21,2846487,Torque teno hominid virus 2,2918,"",152,170,147,Hetorquevirus,MK212032.1,MN769098.1_1,664
MN769097.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-23-2,93678,TTV-like mini virus,2874,"",143,203,142,Betatorquevirus,MN769055.1,MN769097.1_1,667
MN769096.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-231-6,93678,TTV-like mini virus,2874,"",139,625,440,Betatorquevirus,MN769096.1,MN769096.1_1,659
MN769095.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-231-10,93678,TTV-like mini virus,2862,"",5,331,143,Betatorquevirus,MN769082.1,MN769095.1_1,656
MN769094.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-230-15,93678,TTV-like mini virus,2871,"",21,99,40,Betatorquevirus,MN769342.1,MN769094.1_1,659
MN769093.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-230-11,93678,TTV-like mini virus,2897,"",3,123,32,Betatorquevirus,MN769442.1,MN769093.1_1,665
MN769092.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-229-9,93678,TTV-like mini virus,2888,"",7,174,112,Betatorquevirus,OZ258697.1,MN769092.1_1,673
MN769091.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-228-10,93678,TTV-like mini virus,2858,"",77,78,18,Betatorquevirus,MN769058.1,MN769091.1_1,663
MN769090.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-227-13,93678,TTV-like mini virus,2864,"",8,31,182,Betatorquevirus,MN769190.1,MN769090.1_1,667
MN769089.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-227-11,93678,TTV-like mini virus,2916,"",2,292,204,Betatorquevirus,MN769089.1,MN769089.1_1,668
MN769088.1,TTV-like mini virus,Betatorquevirus,Anelloviridae,SAfiA-226-10,93678,TTV-like mini virus,3013,"",44,332,145,Betatorquevirus,MN771139.1,MN769088.1_1,680
